자치구,러닝코스 명,시작 주소,끝 주소,위도1,경도1,경유지위도1,경유지경도1,경유지위도2,경유지경도2,경유지위도3,경유지경도3,위도2,경도2,거리,코스,난이도
중구,자갈치시장 주변 코스,부산 중구 자갈치해안로 52 자갈치시장,부산 중구 자갈치해안로 52 자갈치시장,35.096906,129.03078,35.0957865,129.0365656,35.096398,129.038883,,,35.096906,129.03078,2.6,자갈치시장 - 영도대교 - 부산대교 - 자갈치시장,초급
영도구,절영해안산책로,부산 영도구 영선동4가,부산 영도구 동삼동,35.078722,129.045296,35.0680809,129.0656132,35.0610364,129.0771122,,,35.062809,129.081402,5,남항동 관리사무소 - 중리항 - 감지해변길 - 태종대 입구,중급
영도구,깡깡이마을-브릿지수변테마공원,부산광역시 영도구 대평북로 36,부산 영도구 남항동3가 남항대교 아래쪽 해안 산책로,35.093231,129.034191,35.0849663,129.033423,,,,,35.083644,129.037287,2.5,깡깡이마을 안내센터-남항 방파제-브릿지수변테마공원,초급
영도구,남파랑길 부산 2코스,부산 동구 초량동,부산 영도구 대교동1가,35.114605,129.039311,35.083135,129.055449,35.068932,129.065236,35.078394,129.045282,35.093103,129.037969,18.9,부산역 - 봉래산 - 중리바닷가 - 흰여울문화마을 - 영도대교 입구,중급
영도구,영도 갈맷길 욜로 6코스,부산 영도구 대교동 1가,부산 영도구 해양로301번길 55,35.093199,129.037969,35.078394,129.045282,35.078501,129.079926,,,35.076756,129.078278,10.9,영도대교 - 흰여울 문화마을 - 국립해양박물관 - 아미르공원,중급
영도구,영도-자갈치시장,부산 영도구 남항동3가,부산 영도구,35.085344,129.037142,35.076951,129.018079,35.096792,129.030807,35.096459,129.038799,35.094662,129.036868,12,영도 남항대교 - 송도해변 - 남항체육공원 - 충무동해안시장 - 자갈치시장 - 남포동 - 부산대교 - 영도 포차거리 - 영도,중급
기장군,오시리아 해안 산책로,부산광역시 기장군 기장읍 기장해안로 268-32 아난티 앳 부산 코브,부산 기장군 기장읍 시랑리 62-22,35.197839,129.228167,,,,,,,35.197915,129.229364,2.1,아난티 힐튼 호텔 - 연월이,초급
기장군,임랑해수욕장,부산 기장군 장안읍,부산 기장군 일광읍 삼성리,35.319186,129.264336,,,,,,,35.263115,129.233757,12.2,임랑해수욕장 - 일광해수욕장,상급
기장군,정관읍 좌광천,부산 기장군 정관읍 모전리,부산 기장군 장안읍 산단7로,35.333405,129.170754,,,,,,,35.320791,129.210205,5,모전교 - 무명다리,중급
기장군,부산 갈맷길 1-1,부산 기장군 장안읍,부산 기장군 기장대로 560,35.319186,129.264336,35.263185,129.233714,,,,,35.24448,129.222703,26.4,임랑해수욕장 - 일광해수욕장 - 기장군청,상급
부산진구,백양산 등산 코스,부산 부산진구 개금본동로66번길,부산 사상구 주례동,35.158703,129.020799,,,,,,,35.165606,129.014171,22,백양산개금동코스,중급
강서구,명지 국제신도시 수변공원 왕복 코스,부산 강서구 명지오션시티1로 328,부산 강서구 명지오션시티13로 12-11,35.0877806,128.9128302,35.080313,128.909588,35.080944,128.897105,35.090844,128.898959,35.090757,128.8988817,8,명지배수펌프장 - 오션중학교 - 부산명지엘크루솔마레아파트 - 부산환경공단명지사업소 - 복귀,초급
강서구,대저생태공원,부산 강서구 대저1동 1-38,부산 강서구 대저1동 1-1(반환점),35.1981465,128.9684834,35.215,128.990202,,,,,35.2153791,128.9902824,6,대저생태공원 P5주차장 - 대저캠핑장 끝 지점 - 복귀,중급
강서구,명지 울림공원-너울공원 코스,부산 강서구 명지국제6로318번길 29,부산 강서구 명지국제6로 168(반환점),35.103734,128.9274047,35.093347,128.918096,,,,,35.0933541,128.9182181,4,울림공원 위쪽 끝자락(주차장) - 스타필드 시티 명지 근처 - 복귀,초급
사상구,삼락생태공원 러닝코스,부산 사상구 삼락동 29-67,부산 사상구 삼락동 29-72(반환점),35.161759,128.9728313,35.163647,128.970526,,,,,35.1558172,128.9691389,3,삼락생태공원 P8 주차장 - 연꽃단지 - 복귀,초급
사상구,낙동강 둔치길 왕복 코스,부산 사상구 낙동대로 935,부산 사상구 강변대로 412,35.144208,128.9693434,35.121988,128.96171,,,,,35.1224444,128.9619241,5,SK엔크린 광신가스 낙동대로충전소 - GS칼텍스 직영 강변주유소 - 복귀,초급
수영구,광안리해수욕장 러닝 코스,부산 수영구 민락동,부산 수영구 남천2동 148-100(반환점),35.1551634,129.1230246,35.146737,129.114793,,,,,35.1467116,129.1147858,3,광안리해수욕장야외무대 - 남천해변공원 - 복귀,초급
수영구,민락 수변공원 러닝 코스,부산 수영구 민락수변로 95,부산 해운대구 우동(반환점),35.1549145,129.1313897,35.166252,129.126498,,,,,35.1661741,129.1265728,4,수변공원공영주차장 - 수영교 - 복귀,초급
수영구,수영강변 데크 코스,부산 해운대구 우동,부산 수영구 민락동,35.1661974,129.1265691,35.170789,129.12539,35.161919,129.132256,,,35.1619676,129.1324549,5,수영교 - APEC나루공원 - 민락교 - 복귀,초급
수영구,광안리 해변 트랙 코스,부산 수영구 남천2동 148-100,부산 수영구 민락동 110-19,35.1467116,129.1147858,35.132458,129.120606,35.155937,129.133289,,,35.1573172,129.1343599,5,광안리 해변 입구 - 광안대교 뷰 포인트 - 민락수변공원 - 복귀,중급
수영구,민락수변공원-센텀시티 루프 코스,부산 수영구 민락동 110-19,부산 해운대구 센텀남대로 76(주변 러닝),35.1573172,129.1343599,35.166252,129.126498,,,,,35.1690604,129.1317129,10,민락수변공원 - 수영교 - 센텀시티 주변 순환 - 복귀,초급
연제구,기록문화의길 코스,부산 연제구 경기장로 28 1층,부산 연제구 월드컵대로 196 월드컵대로 도시바람길숲,35.1906301,129.053267,35.1887883,129.0539366,35.1903504,129.0595437,,,35.1889689,129.075877,6,월드컵대로 도시바람숲길  - 국가기록원 부산분원 - 부산아시아드주경기장 - 복귀,초급
연제구,연제맛길-기록문화의길 루프 코스,부산 연제구 과정로344번길 50 경동아파트상가 201호,부산 연제구 세병로 83 거제1동 1468-13번지 일원 거제체육공원,35.1927106,129.0952429,35.1797973,129.074837,35.1904227,129.0597617,35.1887883,129.0539366,35.1958404,129.0822412,10,연제맛길 시작지점(연제구 온천천관리사무소) - 부산광역시청 - 부산아시아드주경기장 - 국가기록원 부산분원(기록문화의길 연결) - 거제체육공원,중급
연제구,거제천·온천천 연결코스,부산 연제구 중앙대로 1101,부산 동래구 수안동,35.1866935,129.0818131,35.1761169,129.0735164,,,,,35.1938301,129.0878373,5,연산역 인근 - 거제천 산책로 - 온천천 합류점,초급
